x_px,y_px
1.156276367187500000e+03,7.087363281250000000e+02
1.153843139648437500e+03,7.104018554687500000e+02
1.151390747070312500e+03,7.120398559570312500e+02
1.148919433593750000e+03,7.136503295898437500e+02
1.146429809570312500e+03,7.152331542968750000e+02
1.143921997070312500e+03,7.167882080078125000e+02
1.141396484375000000e+03,7.183153686523437500e+02
1.138853637695312500e+03,7.198145751953125000e+02
1.136293945312500000e+03,7.212857666015625000e+02
1.133717529296875000e+03,7.227288818359375000e+02
1.131124877929687500e+03,7.241436767578125000e+02
1.128516479492187500e+03,7.255302124023437500e+02
1.125892456054687500e+03,7.268883056640625000e+02
1.123253417968750000e+03,7.282179565429687500e+02
1.120599609375000000e+03,7.295189208984375000e+02
1.117931396484375000e+03,7.307912597656250000e+02
1.115249267578125000e+03,7.320347900390625000e+02
1.112553466796875000e+03,7.332495117187500000e+02
1.109844360351562500e+03,7.344351806640625000e+02
1.107122436523437500e+03,7.355918579101562500e+02
1.104387939453125000e+03,7.367193603515625000e+02
1.101641235351562500e+03,7.378176269531250000e+02
1.098882812500000000e+03,7.388865356445312500e+02
1.096113037109375000e+03,7.399260864257812500e+02
1.093332153320312500e+03,7.409360351562500000e+02
1.090540527343750000e+03,7.419163818359375000e+02
1.087738769531250000e+03,7.428670654296875000e+02
1.084927001953125000e+03,7.437879638671875000e+02
1.082105590820312500e+03,7.446789550781250000e+02
1.079275146484375000e+03,7.455399169921875000e+02
1.076435791015625000e+03,7.463708496093750000e+02
1.073588012695312500e+03,7.471716308593750000e+02
1.070732055664062500e+03,7.479421386718750000e+02
1.067868530273437500e+03,7.486822509765625000e+02
1.064997680664062500e+03,7.493919677734375000e+02
1.062119750976562500e+03,7.500711669921875000e+02
1.059235351562500000e+03,7.507196655273437500e+02
1.056344604492187500e+03,7.513375244140625000e+02
1.053447998046875000e+03,7.519244995117187500e+02
1.050546020507812500e+03,7.524805908203125000e+02
1.047638916015625000e+03,7.530057373046875000e+02
1.044727050781250000e+03,7.534997558593750000e+02
1.041810791015625000e+03,7.539625854492187500e+02
1.038890502929687500e+03,7.543941040039062500e+02
1.035966552734375000e+03,7.547943115234375000e+02
1.033039428710937500e+03,7.551630249023437500e+02
1.030109375000000000e+03,7.555001831054687500e+02
1.027176879882812500e+03,7.558057250976562500e+02
1.024242187500000000e+03,7.560795288085937500e+02
1.021305664062500000e+03,7.563214721679687500e+02
1.018367797851562500e+03,7.565314941406250000e+02
1.015428833007812500e+03,7.567095336914062500e+02
1.012489135742187500e+03,7.568555297851562500e+02
1.009548950195312500e+03,7.569702148437500000e+02
1.006608337402343750e+03,7.570545043945312500e+02
1.003667236328125000e+03,7.571093139648437500e+02
1.000725769042968750e+03,7.571355590820312500e+02
9.977839965820312500e+02,7.571342773437500000e+02
9.948420410156250000e+02,7.571063232421875000e+02
9.918999023437500000e+02,7.570526123046875000e+02
9.889576416015625000e+02,7.569741821289062500e+02
9.860153808593750000e+02,7.568718261718750000e+02
9.830731811523437500e+02,7.567466430664062500e+02
9.801310424804687500e+02,7.565994262695312500e+02
9.771890869140625000e+02,7.564311523437500000e+02
9.742473144531250000e+02,7.562427978515625000e+02
9.713059082031250000e+02,7.560352783203125000e+02
9.683648071289062500e+02,7.558095092773437500e+02
9.654241333007812500e+02,7.555664672851562500e+02
9.624840087890625000e+02,7.553070678710937500e+02
9.595443725585937500e+02,7.550322265625000000e+02
9.566054077148437500e+02,7.547429199218750000e+02
9.536671142578125000e+02,7.544400024414062500e+02
9.507296142578125000e+02,7.541245117187500000e+02
9.477929077148437500e+02,7.537973022460937500e+02
9.448570556640625000e+02,7.534593505859375000e+02
9.419221801757812500e+02,7.531116333007812500e+02
9.389882812500000000e+02,7.527550048828125000e+02
9.360555419921875000e+02,7.523904418945312500e+02
9.331239013671875000e+02,7.520188598632812500e+02
9.301934204101562500e+02,7.516412353515625000e+02
9.272642822265625000e+02,7.512584838867187500e+02
9.243364868164062500e+02,7.508715209960937500e+02
9.214100952148437500e+02,7.504812622070312500e+02
9.184851074218750000e+02,7.500878295898437500e+02
9.155614624023437500e+02,7.496910400390625000e+02
9.126392211914062500e+02,7.492905883789062500e+02
9.097183227539062500e+02,7.488862915039062500e+02
9.067987060546875000e+02,7.484777832031250000e+02
9.038804321289062500e+02,7.480648803710937500e+02
9.009633789062500000e+02,7.476472778320312500e+02
8.980475463867187500e+02,7.472247314453125000e+02
8.951329345703125000e+02,7.467969360351562500e+02
8.922194824218750000e+02,7.463637084960937500e+02
8.893071899414062500e+02,7.459248046875000000e+02
8.863960571289062500e+02,7.454798583984375000e+02
8.834860229492187500e+02,7.450286865234375000e+02
8.805770263671875000e+02,7.445709838867187500e+02
8.776691284179687500e+02,7.441065063476562500e+02
8.747622070312500000e+02,7.436350097656250000e+02
8.718563232421875000e+02,7.431562500000000000e+02
8.689514160156250000e+02,7.426698608398437500e+02
8.660474853515625000e+02,7.421757202148437500e+02
8.631444091796875000e+02,7.416735229492187500e+02
8.602423095703125000e+02,7.411629638671875000e+02
8.573410034179687500e+02,7.406437988281250000e+02
8.544406127929687500e+02,7.401157836914062500e+02
8.515410156250000000e+02,7.395786743164062500e+02
8.486422119140625000e+02,7.390321655273437500e+02
8.457442016601562500e+02,7.384760131835937500e+02
8.428469238281250000e+02,7.379100341796875000e+02
8.399503173828125000e+02,7.373338012695312500e+02
8.370544433593750000e+02,7.367471923828125000e+02
8.341592407226562500e+02,7.361499023437500000e+02
8.312647094726562500e+02,7.355416870117187500e+02
8.283707275390625000e+02,7.349229125976562500e+02
8.254772338867187500e+02,7.342949218750000000e+02
8.225841064453125000e+02,7.336593627929687500e+02
8.196912231445312500e+02,7.330177612304687500e+02
8.167985229492187500e+02,7.323715209960937500e+02
8.139058227539062500e+02,7.317222290039062500e+02
8.110130615234375000e+02,7.310714721679687500e+02
8.081201171875000000e+02,7.304207153320312500e+02
8.052268676757812500e+02,7.297715454101562500e+02
8.023331909179687500e+02,7.291253662109375000e+02
7.994390258789062500e+02,7.284838256835937500e+02
7.965442504882812500e+02,7.278483886718750000e+02
7.936486816406250000e+02,7.272206420898437500e+02
7.907523193359375000e+02,7.266020507812500000e+02
7.878549194335937500e+02,7.259941406250000000e+02
7.849564819335937500e+02,7.253984375000000000e+02
7.820568847656250000e+02,7.248165283203125000e+02
7.791560058593750000e+02,7.242499389648437500e+02
7.762536621093750000e+02,7.237000732421875000e+02
7.733497924804687500e+02,7.231686401367187500e+02
7.704443359375000000e+02,7.226569824218750000e+02
7.675371704101562500e+02,7.221667480468750000e+02
7.646281127929687500e+02,7.216994628906250000e+02
7.617171020507812500e+02,7.212565917968750000e+02
7.588039550781250000e+02,7.208396606445312500e+02
7.558887329101562500e+02,7.204502563476562500e+02
7.529711303710937500e+02,7.200899047851562500e+02
7.500511474609375000e+02,7.197600708007812500e+02
7.471286621093750000e+02,7.194623413085937500e+02
7.442035522460937500e+02,7.191981811523437500e+02
7.412757568359375000e+02,7.189694213867187500e+02
7.383460083007812500e+02,7.187795410156250000e+02
7.354152221679687500e+02,7.186329345703125000e+02
7.324842529296875000e+02,7.185338134765625000e+02
7.295541381835937500e+02,7.184865112304687500e+02
7.266257324218750000e+02,7.184952392578125000e+02
7.237000122070312500e+02,7.185643920898437500e+02
7.207779541015625000e+02,7.186982421875000000e+02
7.178604125976562500e+02,7.189010620117187500e+02
7.149483642578125000e+02,7.191771240234375000e+02
7.120427246093750000e+02,7.195307617187500000e+02
7.091444091796875000e+02,7.199662475585937500e+02
7.062543945312500000e+02,7.204879150390625000e+02
7.033736572265625000e+02,7.211000366210937500e+02
7.005031738281250000e+02,7.218065795898437500e+02
6.976455078125000000e+02,7.226077880859375000e+02
6.948043212890625000e+02,7.235012207031250000e+02
6.919833374023437500e+02,7.244843139648437500e+02
6.891862182617187500e+02,7.255545043945312500e+02
6.864166870117187500e+02,7.267092285156250000e+02
6.836782836914062500e+02,7.279459228515625000e+02
6.809748535156250000e+02,7.292621459960937500e+02
6.783099975585937500e+02,7.306552124023437500e+02
6.756873779296875000e+02,7.321226806640625000e+02
6.731107177734375000e+02,7.336619262695312500e+02
6.705837402343750000e+02,7.352705078125000000e+02
6.681099853515625000e+02,7.369457397460937500e+02
6.656931762695312500e+02,7.386852416992187500e+02
6.633352050781250000e+02,7.404870605468750000e+02
6.610369262695312500e+02,7.423498535156250000e+02
6.587991333007812500e+02,7.442721557617187500e+02
6.566225585937500000e+02,7.462526855468750000e+02
6.545079956054687500e+02,7.482899780273437500e+02
6.524562988281250000e+02,7.503826293945312500e+02
6.504682006835937500e+02,7.525293579101562500e+02
