s_m,x_m,y_m,kappa
4.586364303294377720e+01,-2.443811077062322212e+01,4.831135562610395340e+01,-2.471855507304014134e-03
4.603501852509087655e+01,-2.426677061000452440e+01,4.830787587498929270e+01,-3.751028614519503861e-03
4.620636805714535456e+01,-2.409545914269250844e+01,4.830426432370318679e+01,-4.938181116323016144e-03
4.637769939491455773e+01,-2.392416853498673746e+01,4.830052868271758371e+01,-6.129204131867974081e-03
4.654899939336465309e+01,-2.375291370217678022e+01,4.829659527347916992e+01,-7.407296327169026959e-03
4.672027617020322054e+01,-2.358168674564277367e+01,4.829246445754148453e+01,-8.698503218804186365e-03
4.689150977158890754e+01,-2.341050979910931318e+01,4.828806000309244695e+01,-9.898554926502196524e-03
4.706271569018986867e+01,-2.323936776131684567e+01,4.828338352319406823e+01,-1.110781189257843346e-02
4.723387413022596348e+01,-2.306828281520725099e+01,4.827836826544740489e+01,-1.237003289307441085e-02
4.740500117479691511e+01,-2.289723982042368178e+01,4.827300549386391992e+01,-1.362342515219611139e-02
4.757607733900737657e+01,-2.272626107838240728e+01,4.826723282282282668e+01,-1.487721761190132982e-02
4.774711226630837757e+01,-2.255533835146798083e+01,4.826103864967421231e+01,-1.610344375726063121e-02
4.791809391220931502e+01,-2.238448704468387263e+01,4.825436375603047878e+01,-1.735374505213026913e-02
