x_m,y_m
-1.743583180812068179e+01,4.798139539518727759e+01
-1.726422294581598749e+01,4.797635078092946515e+01
-1.709247257960505806e+01,4.797208090055836749e+01
-1.692056655909723872e+01,4.796863528044117686e+01
-1.674850488429255790e+01,4.796605990934742181e+01
-1.657628047999568821e+01,4.796437601286305608e+01
-1.640393579737849450e+01,4.796335010954274480e+01
-1.623155573878474911e+01,4.796258598844899268e+01
-1.605919690577692904e+01,4.796168743864430439e+01
-1.588695127589411982e+01,4.796026178678883412e+01
-1.571488252589412582e+01,4.795791282194508653e+01
-1.554307555812067676e+01,4.795424433317555213e+01
-1.537159404933161966e+01,4.794886010954273559e+01
-1.520051582667537104e+01,4.794136747770680529e+01
-1.502991871730037587e+01,4.793137376432790120e+01
-1.485988054835505068e+01,4.791847922087086431e+01
-1.469046499659724248e+01,4.790228763639821352e+01
-1.452175696437068098e+01,4.788240987516773828e+01
-1.435382720362849795e+01,4.785844265104664430e+01
-1.418675354151912416e+01,4.782999682829273524e+01
-1.402060672999567714e+01,4.779667619596851580e+01
-1.385545752101130290e+01,4.775808808073415435e+01
-1.369139081690974535e+01,4.771382919645679976e+01
-1.352847736964412206e+01,4.766350686979664886e+01
-1.336743884913630609e+01,4.760619778776539590e+01
-1.321024215968317606e+01,4.753997042204274237e+01
-1.305897448390193460e+01,4.746277296598805151e+01
-1.291573715480036810e+01,4.737256776335134134e+01
-1.278263150538630555e+01,4.726729946989429720e+01
-1.266151831202692790e+01,4.714564502409352542e+01
-1.255326074855037177e+01,4.700934138639820503e+01
-1.245845313136287302e+01,4.686092855192555362e+01
-1.237769685206599490e+01,4.670295359098805932e+01
-1.231159330226130066e+01,4.653795296110524760e+01
-1.226072972315974141e+01,4.636847727018727028e+01
-1.222572165675349254e+01,4.619706297575368126e+01
-1.220715634425349094e+01,4.602625714811695445e+01
-1.220533801905817484e+01,4.585820710905446163e+01
-1.221914880030817585e+01,4.569319586637867303e+01
-1.224706752101130292e+01,4.553095456266774477e+01
-1.228756593898005178e+01,4.537121787809742557e+01
-1.233912288722224559e+01,4.521370988005055835e+01
-1.240019597315973954e+01,4.505816524870289186e+01
-1.246927110499568414e+01,4.490431866423024587e+01
-1.254482004054256095e+01,4.475190126921070544e+01
-1.262530746241755253e+01,4.460064066862477716e+01
-1.270921220362849624e+01,4.445026800505056030e+01
-1.279501309718318680e+01,4.430052149626149571e+01
-1.288179744288630957e+01,4.415124902555837139e+01
-1.296950156398006015e+01,4.400246828092946316e+01
-1.305814668605036388e+01,4.385421817594898641e+01
-1.314775403468318871e+01,4.370652701139820806e+01
-1.323833068507380517e+01,4.355943370085132926e+01
-1.332990493800349441e+01,4.341296654508961694e+01
-1.342248386866755538e+01,4.326716445768727226e+01
-1.351608870265192763e+01,4.312205573942554793e+01
-1.361073359034723751e+01,4.297767930387867352e+01
-1.370643268214412558e+01,4.283406698942555124e+01
-1.380321427882380192e+01,4.269125063444508328e+01
-1.390108545558162234e+01,4.254926561491383552e+01
-1.400006036280818478e+01,4.240814730680835964e+01
-1.410016022608942876e+01,4.226792754850758627e+01
-1.420140627101130804e+01,4.212863817839040337e+01
-1.430381264796443475e+01,4.199031811003102632e+01
-1.440738643214412207e+01,4.185299564421070784e+01
-1.451215592433162271e+01,4.171670969450367750e+01
-1.461813527491756304e+01,4.158148856169117380e+01
-1.472533863429255518e+01,4.144736762174977684e+01
-1.483378015284723972e+01,4.131438578825367358e+01
-1.494348813136286935e+01,4.118257136198414514e+01
-1.505446256983942988e+01,4.105195618132007951e+01
-1.516673884425350138e+01,4.092257915983570626e+01
-1.528031695460505546e+01,4.079447567350759130e+01
-1.539521812648006005e+01,4.066767048551930941e+01
-1.551146358546442627e+01,4.054220604704273967e+01
-1.562907455714412208e+01,4.041811065885914900e+01
-1.574805104151911905e+01,4.029542323454273856e+01
-1.586842841456599729e+01,4.017417207487477526e+01
-1.599020667628474257e+01,4.005439255583181080e+01
-1.611341412745662183e+01,3.993612005339039683e+01
-1.623802954249568131e+01,3.981936518034352446e+01
-1.636403877101130888e+01,3.970413147428882894e+01
-1.649141351222223761e+01,3.959042601042165188e+01
-1.662014669093318275e+01,3.947825586393727804e+01
-1.675019585597225102e+01,3.936762811003102058e+01
-1.688155393214411504e+01,3.925854274870289373e+01
-1.701419969386286368e+01,3.915100685514821066e+01
-1.714810484034724425e+01,3.904502750456227034e+01
-1.728325522120661617e+01,3.894060823454273645e+01
-1.741962253565974095e+01,3.883775258268727271e+01
-1.755718555812067905e+01,3.873647469938649124e+01
-1.769592306300349094e+01,3.863676750944507887e+01
-1.783582089991755026e+01,3.853864516325367617e+01
-1.797685076808161853e+01,3.844211119840993263e+01
-1.811899144190974198e+01,3.834717269010914720e+01
-1.826222877101130848e+01,3.825382963835133410e+01
-1.840652737940973793e+01,3.816208911833180650e+01
-1.855188019190974558e+01,3.807195820524586338e+01
-1.869825890773005028e+01,3.798344397428883212e+01
-1.884564230128474094e+01,3.789654996305836221e+01
-1.899400207179255062e+01,3.781127970915211733e+01
-1.914333114405818037e+01,3.772763675016774698e+01
-1.929360121730036326e+01,3.764563523649586330e+01
-1.944478399073787500e+01,3.756527163053883100e+01
-1.959687238917537400e+01,3.748655654508961277e+01
-1.974983103663630857e+01,3.740948998014820859e+01
-1.990364578273005236e+01,3.733408608610524482e+01
-2.005829540187068005e+01,3.726034132536305776e+01
-2.021375159327692472e+01,3.718826631071461009e+01
-2.037000020655818844e+01,3.711786104215993021e+01
-2.052702001612848903e+01,3.704913967008961606e+01
-2.068478272120661643e+01,3.698209865690601816e+01
-2.084327417140193006e+01,3.691674861540211339e+01
-2.100247314112849750e+01,3.685309308317555121e+01
-2.116235132960505894e+01,3.679113913542164482e+01
-2.132288751124568194e+01,3.673088677214039421e+01
-2.148406753565974725e+01,3.667235014372242574e+01
-2.164587017726130824e+01,3.661552925016773941e+01
-2.180826006007380613e+01,3.656042762907399890e+01
-2.197123010890193484e+01,3.650705235563648898e+01
-2.213475909815974063e+01,3.645541050505055125e+01
-2.229881165187067893e+01,3.640550915251149888e+01
-2.246338069483942945e+01,3.635734829801930346e+01
-2.262843792628474660e+01,3.631093501676930657e+01
-2.279396919581599690e+01,3.626627638395680719e+01
-2.295993912745662158e+01,3.622337947477711850e+01
-2.312633357081599428e+01,3.618224428923024050e+01
-2.329313837550349575e+01,3.614287790251148635e+01
-2.346031816554255300e+01,3.610529092741383295e+01
-2.362786586573786707e+01,3.606947982633961658e+01
-2.379575317530817813e+01,3.603545874967946361e+01
-2.396395179347224058e+01,3.600322769743335982e+01
-2.413244756983942807e+01,3.597279020719899734e+01
-2.430121927882380817e+01,3.594415689176931039e+01
-2.447024569483943424e+01,3.591733128874196268e+01
-2.463950559230036674e+01,3.589232047331226738e+01
-2.480897774562068037e+01,3.586912444548023871e+01
-2.497863385401912240e+01,3.584775381803883931e+01
-2.514845976710505937e+01,3.582821212858570448e+01
-2.531842718409724569e+01,3.581050291471852631e+01
-2.548852195460505499e+01,3.579463325163258958e+01
-2.565872285304255485e+01,3.578061021452320745e+01
-2.582900157862849255e+01,3.576843734098805783e+01
-2.599934398097224175e+01,3.575811816862477599e+01
-2.616972883448787002e+01,3.574965623503102563e+01
-2.634014198878474389e+01,3.574300908903492768e+01
-2.651057990626521388e+01,3.573812366667165463e+01
-2.668104612452692947e+01,3.573494690397633633e+01
-2.685153356837458460e+01,3.573342573698414526e+01
-2.702203870021052268e+01,3.573350002653492652e+01
-2.719255444483943052e+01,3.573512024626148786e+01
-2.736308080226130812e+01,3.573823333219898757e+01
-2.753361423487849180e+01,3.574277914518727073e+01
-2.770414766749568258e+01,3.574871169645680880e+01
-2.787467756251520967e+01,3.575596730924976896e+01
-2.804520391993708728e+01,3.576449999479665109e+01
-2.821571966456599512e+01,3.577425315153493557e+01
-2.838622479640193319e+01,3.578517017790211696e+01
-2.855670870265193173e+01,3.579719800993336776e+01
-2.872717492091364733e+01,3.581028358366383202e+01
-2.889761637599177391e+01,3.582437029753101854e+01
-2.906802599269099119e+01,3.583940508757008558e+01
-2.923840730860896286e+01,3.585533488981617722e+01
-2.940874971095271206e+01,3.587210310270680225e+01
-2.957905319972224589e+01,3.588966019987476841e+01
-2.974931069972224407e+01,3.590794604215993502e+01
-2.991952221095271369e+01,3.592691110319508141e+01
-3.008968419581599107e+01,3.594649878141774479e+01
-3.025978957911677725e+01,3.596665247526539133e+01
-3.042983836085505800e+01,3.598732265837087141e+01
-3.059981992823787067e+01,3.600845272917165119e+01
-3.076973781886287185e+01,3.602998962370290315e+01
-3.093958849513239784e+01,3.605187674040212187e+01
-3.110936134425349309e+01,3.607406101530446563e+01
-3.127905636622615049e+01,3.609648938444509270e+01
-3.144867002345271345e+01,3.611910878385914714e+01
-3.161820231593318198e+01,3.614191213835132999e+01
-3.178765678126521266e+01,3.616491006071461811e+01
-3.195702988185114890e+01,3.618812023893727314e+01
-3.212632515528864730e+01,3.621155328581227195e+01
-3.229554613917537154e+01,3.623523042692555407e+01
-3.246468929591365082e+01,3.625916227507008216e+01
-3.263376170069880544e+01,3.628336651823414627e+01
-3.280276335353083539e+01,3.630785730680837275e+01
-3.297169425440974067e+01,3.633265232878102324e+01
-3.314055794093317786e+01,3.635776219694508882e+01
-3.330935441310114697e+01,3.638320106169118162e+01
-3.347808367091364801e+01,3.640899014860524119e+01
-3.364674925196833755e+01,3.643514007048024439e+01
-3.381535469386286508e+01,3.646166851530446706e+01
-3.398389645899958822e+01,3.648858963346852136e+01
-3.415238162257380594e+01,3.651591757536304783e+01
-3.432080664698786876e+01,3.654366649137867284e+01
-3.448917506983943326e+01,3.657185760710133593e+01
-3.465748689112849235e+01,3.660049799772633605e+01
-3.482574918605036629e+01,3.662960535124196326e+01
